Country,Town,NAME,Date
Romania,Bucuresti,EPI_ISL_468134,21/03/2020
Romania,Bucuresti,EPI_ISL_468135,22/03/2020
Romania,Bucuresti,EPI_ISL_468136,22/03/2020
Romania,Suceava,EPI_ISL_468137,22/03/2020
Romania,Suceava,EPI_ISL_468138,25/03/2020
Romania,Suceava,EPI_ISL_468139,25/03/2020
Romania,Suceava,EPI_ISL_468140,25/03/2020
Romania,Suceava,EPI_ISL_468141,25/03/2020
Romania,Suceava,EPI_ISL_468142,25/03/2020
Romania,Suceava,EPI_ISL_468143,25/03/2020
Romania,Suceava,EPI_ISL_468144,25/03/2020
Romania,Bucuresti,EPI_ISL_468145,28/03/2020
Romania,Suceava,EPI_ISL_468146,08/04/2020
Romania,Bucuresti,EPI_ISL_468147,11/04/2020
Romania,Bucuresti,EPI_ISL_468148,11/04/2020
Romania,Bucuresti,EPI_ISL_468149,12/04/2020
Romania,Bucuresti,EPI_ISL_468150,12/04/2020
Romania,Bucuresti,EPI_ISL_468151,15/04/2020
Romania,Bucuresti,EPI_ISL_468152,16/04/2020
Romania,Bucuresti,EPI_ISL_468153,17/04/2020
Romania,Bucuresti,EPI_ISL_468154,17/04/2020
Romania,Bucuresti,EPI_ISL_468155,18/04/2020
Romania,Suceava,EPI_ISL_468157,29/05/2020
Romania,Suceava,EPI_ISL_468158,29/05/2020
